"DOEID","BA_climate","IECC_climate_code","UATYP10","NWEIGHT"
102572,Hot-Humid,1A,C,1444.115961
108113,Hot-Humid,1A,C,1567.8886453
101717,Hot-Humid,1A,C,1332.524277
117200,Hot-Humid,1A,C,2007.8342887
117053,Hot-Humid,1A,C,1366.5676055
113098,Hot-Humid,1A,C,2785.7700818
107437,Hot-Humid,1A,C,2295.1940663
100782,Hot-Humid,1A,C,1817.9270831
107051,Hot-Humid,1A,C,1675.5821554
112327,Hot-Humid,1A,C,1333.0209786
111093,Hot-Humid,1A,C,1563.0644295
114214,Hot-Humid,1A,C,1838.6054401
108454,Hot-Humid,1A,C,1400.1211152
105959,Hot-Humid,1A,C,1553.5936013
117741,Hot-Humid,1A,C,1470.5780554
112712,Hot-Humid,1A,C,1854.0784806
101925,Hot-Humid,1A,C,1892.492951
117287,Hot-Humid,1A,C,1749.1584555
107211,Hot-Humid,1A,C,1727.0201929
106975,Hot-Humid,1A,C,10977.26357
106954,Hot-Humid,1A,C,1889.6783475
106072,Hot-Humid,1A,C,2016.318681
113417,Hot-Humid,1A,C,1848.3736911
103717,Hot-Humid,1A,C,2239.92377
103659,Hot-Humid,1A,C,1411.1427415
108743,Hot-Humid,1A,C,1339.4825577
101740,Hot-Humid,1A,C,1475.8467901
105926,Hot-Humid,1A,C,1451.4345982
112461,Hot-Humid,1A,C,2018.8502552
110755,Hot-Humid,1A,C,2018.952157
117126,Hot-Humid,1A,C,1662.9288017
113751,Hot-Humid,1A,C,1332.3263388
115559,Hot-Humid,1A,C,2261.3791499
116922,Hot-Humid,1A,C,1270.4882034
106984,Hot-Humid,1A,C,1650.9711288
103394,Hot-Humid,1A,C,1993.2041218
102434,Hot-Humid,1A,C,1623.9078634
114806,Hot-Humid,1A,C,2183.8072693
107322,Hot-Humid,1A,C,1589.8786836
116480,Hot-Humid,1A,C,1480.9899928
104260,Hot-Humid,1A,C,1462.4105788
106562,Hot-Humid,1A,C,1815.1648675
102620,Hot-Humid,1A,C,1396.9464991
113394,Hot-Humid,1A,C,1496.494977
107027,Hot-Humid,1A,C,1827.2553941
110196,Hot-Humid,1A,C,1444.115961
101754,Hot-Humid,1A,C,1592.8705929
104084,Hot-Humid,1A,C,2092.4181704
111707,Hot-Humid,1A,C,1637.3990579
103044,Hot-Humid,1A,C,2140.4169324
107452,Hot-Humid,1A,C,2001.6564099
112360,Hot-Humid,1A,C,1263.0069329
117997,Hot-Humid,1A,C,2978.0116652
105190,Hot-Humid,1A,C,2052.8503222
108848,Hot-Humid,1A,C,1637.4188403
116599,Hot-Humid,1A,C,1420.1387534
110512,Hot-Humid,1A,C,12330.047148
109207,Hot-Humid,1A,C,1382.8626133
111937,Hot-Humid,2A,C,5799.9984068
102020,Hot-Humid,2A,C,12639.751646
109027,Hot-Humid,2A,C,8870.5812009
113579,Hot-Humid,2A,C,16459.15891
111628,Hot-Humid,2A,C,15349.673696
108688,Hot-Humid,2A,C,5383.3415607
118453,Hot-Humid,2A,C,5046.2323357
106464,Hot-Humid,2A,C,5535.8377592
101347,Hot-Humid,2A,C,8759.1633034
108349,Hot-Humid,2A,C,5681.0875081
111394,Hot-Humid,2A,C,9267.404747
102251,Hot-Humid,2A,C,4971.2326161
112549,Hot-Humid,2A,C,13059.011477
106280,Hot-Humid,2A,C,12075.444206
105443,Hot-Humid,2A,C,7489.0803342
110943,Hot-Humid,2A,C,11410.0315
100159,Hot-Humid,2A,C,10125.875422
111595,Hot-Humid,2A,C,4546.6364109
105263,Hot-Humid,2A,C,7564.0806638
109043,Hot-Humid,2A,C,10698.612436
109279,Hot-Humid,2A,C,10911.198437
108276,Hot-Humid,2A,C,10081.892688
116628,Hot-Humid,2A,C,16744.218033
105175,Hot-Humid,2A,C,11398.113414
117585,Hot-Humid,2A,C,6142.550388
111692,Hot-Humid,2A,C,5747.9045913
111083,Hot-Humid,2A,C,17529.639399
111713,Hot-Humid,2A,C,5876.5015346
104437,Hot-Humid,2A,C,7170.8641865
106853,Hot-Humid,2A,C,11728.922786
107060,Hot-Humid,2A,C,11274.735566
117930,Hot-Humid,2A,C,5578.5692993
106511,Hot-Humid,2A,C,6291.6537036
106349,Hot-Humid,2A,C,7594.5331777
111506,Hot-Humid,2A,C,11266.843178
112567,Hot-Humid,2A,C,8406.1456184
111363,Hot-Humid,2A,C,11111.277077
117957,Hot-Humid,2A,C,9792.5416505
103968,Hot-Humid,2A,C,10462.240753
102938,Hot-Humid,2A,C,12435.491208
102830,Hot-Humid,2A,C,10770.8299
111675,Hot-Humid,2A,C,12897.986434
112493,Hot-Humid,2A,C,6851.7262898
118037,Hot-Humid,2A,C,15335.374443
116988,Hot-Humid,2A,C,2251.90894
102052,Hot-Humid,2A,C,7895.6230248
112669,Hot-Humid,2A,C,15890.966319
108025,Hot-Humid,2A,C,7312.6170913
105569,Hot-Humid,2A,C,12481.781102
110214,Hot-Humid,2A,C,10527.820866
118183,Hot-Humid,2A,C,5129.2072451
111321,Hot-Humid,2A,C,10237.172551
108271,Hot-Humid,2A,C,9768.9630993
104875,Hot-Humid,2A,C,7149.0842949
102010,Hot-Humid,2A,C,11810.18055
101194,Hot-Humid,2A,C,5843.2345795
112407,Hot-Humid,2A,C,10287.925186
104239,Hot-Humid,2A,C,9531.8897914
105851,Hot-Humid,2A,C,11166.144539
110350,Hot-Humid,2A,C,8967.3215712
101473,Hot-Humid,2A,C,6648.4112461
109375,Hot-Humid,2A,C,9794.6056474
110715,Hot-Humid,2A,C,15449.550717
103861,Hot-Humid,2A,C,11208.32432
104078,Hot-Humid,2A,C,5529.7596953
108800,Hot-Humid,2A,C,14044.03327
107264,Hot-Humid,2A,C,8328.0775027
103724,Hot-Humid,2A,C,8942.827066
104609,Hot-Humid,2A,C,14188.993404
112851,Hot-Humid,2A,C,5449.1793039
111254,Hot-Humid,2A,C,15246.997639
100029,Hot-Humid,2A,C,11170.436086
100999,Hot-Humid,2A,C,9666.4160135
117565,Hot-Dry,2B,C,6316.333615
109018,Hot-Humid,2B,C,12780.839515
110611,Hot-Dry,2B,C,2842.9718948
109679,Hot-Dry,2B,C,4887.218718
114258,Hot-Dry,2B,C,4901.8969999
111597,Hot-Dry,2B,C,4374.2261451
112878,Hot-Dry,2B,C,5101.0387163
104110,Hot-Dry,2B,C,5105.7484985
103592,Hot-Dry,2B,C,1938.4262174
108207,Hot-Dry,2B,C,4392.8372795
101050,Hot-Dry,2B,C,4508.9251989
100300,Hot-Dry,2B,C,2039.8982333
101027,Hot-Humid,2B,C,14225.858866
112185,Hot-Dry,2B,C,6024.8469276
107554,Hot-Dry,2B,C,5517.6176905
113986,Hot-Dry,2B,C,1997.4534856
113385,Hot-Dry,2B,C,4261.5304921
110424,Hot-Dry,2B,C,6120.6450357
108775,Hot-Dry,2B,C,4918.0726753
108687,Hot-Dry,2B,C,3764.2685941
112315,Hot-Dry,2B,C,7400.5172726
101479,Hot-Dry,2B,C,5127.9786233
116329,Hot-Dry,2B,C,8104.7216028
115095,Mixed-Humid,3A,C,7820.4045865
108514,Mixed-Humid,3A,C,5583.4694823
101569,Hot-Humid,3A,C,7857.5543848
101208,Hot-Humid,3A,C,6774.47296
113411,Mixed-Humid,3A,C,6392.4219352
111792,Mixed-Humid,3A,C,7928.8055571
103749,Hot-Humid,3A,C,6535.2401102
101561,Hot-Humid,3A,C,11576.089389
102808,Mixed-Humid,3A,C,5779.9696917
115115,Hot-Humid,3A,C,5703.0739846
117715,Mixed-Humid,3A,C,5484.2199351
112659,Hot-Humid,3A,C,6116.80717
104353,Mixed-Humid,3A,C,9031.3453277
102551,Mixed-Humid,3A,C,10167.102766
105055,Hot-Humid,3A,C,10244.257696
101224,Mixed-Humid,3A,C,7376.259223
118212,Mixed-Humid,3A,C,6183.6467734
117721,Hot-Humid,3A,C,10918.470671
114997,Mixed-Humid,3A,C,12141.782465
117568,Mixed-Humid,3A,C,7989.3137895
110119,Hot-Humid,3A,C,10692.620099
102870,Hot-Humid,3A,C,7984.3499893
115257,Mixed-Humid,3A,C,5446.4154054
104764,Mixed-Humid,3A,C,8116.9304341
116085,Hot-Humid,3A,C,11647.009995
106564,Mixed-Humid,3A,C,4819.490481
101193,Mixed-Humid,3A,C,10727.131156
109851,Mixed-Humid,3A,C,10600.271856
111960,Mixed-Humid,3A,C,4583.1731271
116127,Hot-Humid,3A,C,10698.612436
102173,Hot-Humid,3A,C,4384.2317405
117591,Hot-Humid,3A,C,6218.8148981
117405,Mixed-Humid,3A,C,3188.0220776
105490,Hot-Humid,3A,C,10404.184805
100095,Mixed-Humid,3A,C,7807.1209813
117969,Mixed-Humid,3A,C,6397.2374107
105803,Mixed-Humid,3A,C,5765.7247938
104592,Mixed-Humid,3A,C,5833.8541608
116375,Hot-Humid,3A,C,8686.7443234
106271,Mixed-Humid,3A,C,4008.9661771
117672,Mixed-Humid,3A,C,6449.7561173
116975,Hot-Humid,3A,C,4040.2776968
104621,Hot-Humid,3A,C,7712.5356209
118440,Mixed-Humid,3A,C,6685.1538408
104972,Mixed-Humid,3A,C,7408.4312342
103544,Mixed-Humid,3A,C,6094.8862218
109804,Mixed-Humid,3A,C,3423.8125316
103607,Mixed-Humid,3A,C,4974.6469585
111312,Mixed-Humid,3A,C,8945.4072215
111387,Hot-Humid,3A,C,6726.8759332
102783,Hot-Humid,3A,C,2859.1349275
110874,Mixed-Humid,3A,C,9196.8851019
116106,Mixed-Humid,3A,C,10548.180906
100682,Hot-Humid,3A,C,6782.7149521
106296,Mixed-Humid,3A,C,5474.4184082
110204,Mixed-Humid,3A,C,3845.6515286
108034,Mixed-Humid,3A,C,3618.9686579
110569,Mixed-Humid,3A,C,7621.692935
103836,Hot-Humid,3A,C,9014.7530675
105296,Mixed-Humid,3A,C,10673.096352
109741,Mixed-Humid,3A,C,7208.3646016
107757,Mixed-Humid,3A,C,7632.7440901
113100,Mixed-Humid,3A,C,7723.5867618
115216,Mixed-Humid,3A,C,8015.0756151
102564,Hot-Humid,3A,C,7099.8408629
114035,Hot-Humid,3A,C,6505.9821874
114805,Mixed-Humid,3A,C,3939.2304805
113892,Mixed-Humid,3A,C,3973.82432
117089,Hot-Humid,3A,C,8646.5467745
113953,Mixed-Humid,3A,C,5999.0973806
118214,Mixed-Humid,3A,C,8533.260792
101600,Mixed-Humid,3A,C,3307.0333844
104255,Mixed-Humid,3A,C,7360.3938796
104503,Mixed-Humid,3A,C,11656.880155
107377,Mixed-Humid,3A,C,6868.8338629
113869,Hot-Humid,3A,C,8163.1410009
112702,Mixed-Humid,3A,C,2054.0257337
101353,Mixed-Humid,3A,C,9208.5413137
108746,Mixed-Humid,3A,C,4282.1515992
108824,Hot-Humid,3A,C,6240.7466816
111867,Hot-Humid,3A,C,9861.7414777
117990,Mixed-Humid,3A,C,6839.3980859
114496,Mixed-Humid,3A,C,8605.0755797
111233,Mixed-Humid,3A,C,7561.2743033
116712,Mixed-Humid,3A,C,11714.622413
111416,Mixed-Humid,3A,C,9540.9401769
105069,Hot-Humid,3A,C,4469.3279823
101418,Mixed-Humid,3A,C,4747.4217111
104887,Hot-Humid,3A,C,11660.763726
102911,Mixed-Humid,3A,C,7954.2267396
107193,Mixed-Humid,3A,C,6908.7489463
114221,Mixed-Humid,3A,C,7813.2752045
102451,Hot-Humid,3A,C,6587.200174
117309,Mixed-Humid,3A,C,3872.4572369
115754,Mixed-Humid,3A,C,7846.8011063
116417,Mixed-Humid,3A,C,3654.0177067
101093,Mixed-Humid,3A,C,8258.6005412
104824,Mixed-Humid,3A,C,6205.4177298
115986,Mixed-Humid,3A,C,7422.3650835
115296,Mixed-Humid,3A,C,9381.8624082
108366,Mixed-Humid,3A,C,4352.2381486
117088,Mixed-Humid,3A,C,6856.5867006
110238,Hot-Humid,3A,C,7050.355212
103759,Mixed-Humid,3A,C,6898.792707
111452,Mixed-Humid,3A,C,3630.7633645
117824,Mixed-Humid,3A,C,3552.3058129
113683,Mixed-Humid,3A,C,7977.0978531
111987,Hot-Humid,3A,C,15572.03806
112569,Mixed-Humid,3A,C,4693.5537469
117777,Mixed-Humid,3A,C,7028.850463
101400,Mixed-Humid,3A,C,6113.5678237
110216,Hot-Humid,3A,C,7358.3735935
117259,Hot-Humid,3A,C,4443.4693354
105246,Mixed-Humid,3A,C,7474.341933
108652,Mixed-Humid,3A,C,8426.1588469
107348,Mixed-Humid,3A,C,6430.7760529
114075,Hot-Humid,3A,C,14210.856678
116901,Mixed-Humid,3A,C,8597.5244215
110483,Mixed-Humid,3A,C,4933.6552066
113782,Mixed-Humid,3A,C,7244.0835248
106545,Mixed-Humid,3A,C,3944.3045394
110305,Hot-Humid,3A,C,7324.3183326
111711,Mixed-Humid,3A,C,8815.2224701
109373,Mixed-Humid,3A,C,6727.5487314
118056,Mixed-Humid,3A,C,5554.0780363
116719,Mixed-Humid,3A,C,6337.9773134
100199,Hot-Humid,3A,C,6563.6211116
109608,Mixed-Humid,3A,C,5140.1495587
100768,Mixed-Humid,3A,C,4087.1628399
115335,Mixed-Humid,3A,C,5203.6224662
112763,Mixed-Humid,3A,C,4934.8574576
113484,Mixed-Humid,3A,C,6127.9793619
109471,Mixed-Humid,3A,C,6376.4095577
102027,Hot-Humid,3A,C,8356.0852817
106341,Mixed-Humid,3A,C,6904.0151767
108713,Mixed-Humid,3A,C,6777.6555034
101891,Hot-Humid,3A,C,8124.071687
102288,Mixed-Humid,3A,C,3805.3230861
109176,Mixed-Humid,3A,C,3472.5307401
105802,Hot-Humid,3A,C,5418.3314257
102608,Mixed-Humid,3A,C,9821.2405961
106989,Hot-Humid,3A,C,7154.2534748
106416,Hot-Humid,3A,C,4402.4559373
106189,Mixed-Humid,3A,C,5386.0160543
106371,Mixed-Humid,3A,C,3160.0520349
118385,Mixed-Humid,3A,C,13821.802378
104585,Mixed-Humid,3A,C,6617.4174729
116289,Hot-Humid,3A,C,15221.837519
110662,Mixed-Humid,3A,C,11449.407877
117420,Mixed-Humid,3A,C,7244.0835248
111745,Hot-Humid,3A,C,6871.9611933
106164,Mixed-Humid,3A,C,7256.0380295
105905,Mixed-Humid,3A,C,8201.0494826
102372,Mixed-Humid,3A,C,6823.5894983
110681,Mixed-Humid,3A,C,5353.987715
107266,Mixed-Humid,3A,C,7352.928914
108278,Hot-Humid,3A,C,4973.3910352
104265,Hot-Humid,3A,C,5843.2345795
100822,Mixed-Humid,3A,C,3688.5100481
114219,Mixed-Humid,3A,C,6891.312299
108104,Mixed-Humid,3A,C,6488.8766849
106283,Hot-Humid,3A,C,8450.7265088
115658,Mixed-Humid,3A,C,5421.9999786
118106,Mixed-Humid,3A,C,7914.0001284
111961,Hot-Humid,3A,C,8610.4385866
115126,Hot-Humid,3A,C,9684.780827
118007,Mixed-Humid,3A,C,4934.8574576
113024,Mixed-Humid,3A,C,7290.0236577
103778,Mixed-Humid,3A,C,5141.7516139
107057,Hot-Humid,3A,C,6712.3048138
113333,Mixed-Humid,3A,C,3896.6210914
100908,Mixed-Humid,3A,C,7268.9789544
102430,Hot-Humid,3A,C,7884.1068753
114518,Mixed-Humid,3A,C,5241.4613742
112092,Mixed-Humid,3A,C,8893.3361159
117084,Mixed-Humid,3A,C,13451.411159
106794,Hot-Humid,3A,C,4443.4693354
116731,Mixed-Humid,3A,C,5174.5445179
108538,Mixed-Humid,3A,C,3393.0371398
100228,Mixed-Humid,3A,C,4432.0660136
111042,Hot-Humid,3A,C,5484.181563
109518,Mixed-Humid,3A,C,7123.1464106
107125,Mixed-Humid,3A,C,7297.0593416
111099,Mixed-Humid,3A,C,5277.57903
115309,Mixed-Humid,3A,C,5104.0510159
104130,Mixed-Humid,3A,C,6259.5914441
114542,Mixed-Humid,3A,C,4532.7893119
104647,Mixed-Humid,3A,C,6833.2949534
