state_postal,NHSLDMEM,DRYRUSE,ELWATER,CDD30YR_PUB,WASHLOAD,KWH,DRYRFUEL_Electricity,DRYRFUEL_NA,DRYRFUEL_Natural_Gas,DRYRFUEL_Propane,FUELHEAT_Electricity,FUELHEAT_Fuel_Oil,FUELHEAT_Natural_Gas,FUELHEAT_Other,FUELHEAT_Propane,FUELHEAT_Wood,OUTGRILLFUEL_Natural_Gas,OUTGRILLFUEL_Propane
HI,2,2,1,4729,2,7929.5,1,0,0,0,0,0,0,0,0,0,0,0
HI,2,1,1,3942,1,7614.27,1,0,0,0,0,0,0,0,0,0,0,0
HI,1,2,0,3463,2,8809.42,0,0,0,1,0,0,0,0,0,0,0,1
HI,7,8,0,3287,7,8927.8,1,0,0,0,0,0,0,0,0,0,0,0
HI,1,2,0,267,2,3789.02,0,0,0,1,0,0,0,0,0,0,0,0
HI,2,-2,0,3697,-2,2354.67,0,1,0,0,0,0,0,0,0,0,0,0
HI,1,-2,1,4038,3,3063.76,0,1,0,0,0,0,0,0,0,0,0,0
HI,1,-2,1,3339,-2,3269.3,0,1,0,0,0,0,0,0,0,0,0,0
HI,5,5,1,3300,5,3274.74,0,0,0,1,0,0,0,0,0,0,0,0
HI,5,2,1,3448,2,15160.95,1,0,0,0,1,0,0,0,0,0,0,0
HI,1,1,1,313,1,3798.97,1,0,0,0,0,0,0,0,0,0,0,0
HI,2,4,1,1798,4,8296.58,1,0,0,0,0,0,0,0,0,0,0,0
HI,5,2,1,2009,3,9516.74,0,0,0,1,0,0,0,0,0,0,0,1
HI,5,3,1,3833,3,3321.45,1,0,0,0,0,0,0,0,0,0,0,0
HI,2,0,1,4596,1,8725.34,1,0,0,0,0,0,0,0,0,0,0,1
HI,7,-2,0,3282,-2,5426.49,0,1,0,0,1,0,0,0,0,0,0,1
HI,4,3,1,3296,3,8513.28,1,0,0,0,0,0,0,0,0,0,0,1
HI,2,3,1,2027,3,5628.2,1,0,0,0,0,0,0,0,0,0,0,1
HI,2,-2,0,3181,2,5139.86,0,1,0,0,0,0,0,0,0,0,0,0
FL,2,3,1,4373,3,10611.0,1,0,0,0,0,0,0,0,0,0,0,1
HI,2,0,1,4200,5,4259.08,1,0,0,0,0,0,0,0,0,0,0,0
HI,2,0,1,162,0,5299.18,1,0,0,0,0,0,0,0,0,0,0,0
HI,4,5,0,3224,5,1746.43,0,0,0,1,0,0,0,0,0,0,0,1
HI,1,2,1,229,2,2972.25,1,0,0,0,0,0,0,0,0,0,0,0
HI,7,10,1,319,10,17341.25,1,0,0,0,0,0,0,0,0,0,0,1
HI,1,-2,1,1691,-2,3188.12,0,1,0,0,0,0,0,0,0,0,0,0
HI,4,2,1,3970,5,7503.14,1,0,0,0,0,0,0,0,0,0,0,0
HI,2,1,0,2075,1,5492.73,1,0,0,0,0,0,0,0,0,0,0,0
HI,2,3,1,1710,3,6098.3,1,0,0,0,0,0,0,0,0,0,0,1
HI,7,-2,1,4352,3,10053.16,0,1,0,0,0,0,0,0,0,0,0,1
HI,7,7,0,3372,7,11741.99,1,0,0,0,0,0,0,0,0,0,0,1
HI,1,1,1,1995,1,2615.76,1,0,0,0,0,0,0,0,0,0,0,0
HI,1,-2,1,2633,-2,1161.64,0,1,0,0,0,0,0,0,0,0,0,0
HI,2,5,1,3623,4,4098.42,1,0,0,0,0,0,0,0,0,0,0,1
HI,5,1,1,3509,1,13097.41,1,0,0,0,0,0,0,0,0,0,0,0
HI,4,-2,1,1969,5,9870.38,0,1,0,0,0,0,0,0,0,0,0,1
HI,1,1,0,2077,1,3161.92,0,0,0,1,0,0,0,0,0,0,0,0
HI,2,-2,1,3151,5,2598.0,0,1,0,0,0,0,0,0,0,0,0,0
HI,2,4,0,3776,3,13273.43,1,0,0,0,0,0,0,0,0,0,0,1
HI,3,5,0,3151,5,12016.13,1,0,0,0,0,0,0,0,0,0,0,1
HI,2,7,0,3217,6,7883.86,1,0,0,0,0,0,0,0,0,0,0,0
HI,2,1,1,242,2,6131.24,1,0,0,0,0,0,0,0,0,0,0,1
HI,4,3,1,1740,3,14507.6,1,0,0,0,0,0,0,0,0,0,0,1
HI,5,3,1,3843,3,6544.55,1,0,0,0,0,0,0,0,0,0,0,1
HI,2,-2,1,1018,3,4269.39,0,1,0,0,0,0,0,0,0,0,0,0
HI,2,2,1,4673,2,5252.18,1,0,0,0,0,0,0,0,0,0,0,0
HI,5,-2,0,3952,7,4765.64,0,1,0,0,0,0,0,0,0,0,0,0
HI,1,-2,1,1788,-2,2687.61,0,1,0,0,0,0,0,0,0,0,0,0
HI,4,7,1,2034,8,9718.81,1,0,0,0,0,0,0,0,0,0,0,0
HI,7,-2,1,3921,4,7744.01,0,1,0,0,0,0,0,0,0,0,0,0
