NHSLDMEM,DRYRUSE,ELWATER,CDD30YR_PUB,WASHLOAD,KWH,DRYRFUEL_Electricity,DRYRFUEL_NA,DRYRFUEL_Natural_Gas,DRYRFUEL_Propane,FUELHEAT_Electricity,FUELHEAT_Natural_Gas,FUELHEAT_Propane,FUELHEAT_Wood,OUTGRILLFUEL_Natural_Gas,OUTGRILLFUEL_Propane
2,4,0,1529,4,5817.69,0,0,1,0,0,1,0,0,0,1
1,3,1,741,3,4016.95,1,0,0,0,1,0,0,0,0,0
2,4,1,364,4,6026.48,0,0,1,0,0,1,0,0,0,0
3,2,0,1212,2,4043.12,1,0,0,0,0,1,0,0,0,0
2,4,0,2460,4,3511.77,0,0,1,0,0,1,0,0,0,1
2,4,0,953,3,5938.58,0,0,0,1,0,0,1,0,0,0
2,2,0,1395,2,9369.43,0,0,1,0,0,1,0,0,0,1
3,1,1,1834,1,7189.94,1,0,0,0,0,1,0,0,0,0
2,3,1,917,3,9363.79,1,0,0,0,1,0,0,0,0,0
2,1,0,1888,1,5001.86,0,0,1,0,0,1,0,0,0,1
5,5,0,873,5,12583.22,0,0,0,1,1,0,0,0,0,1
1,2,0,1993,2,12742.77,1,0,0,0,0,1,0,0,0,0
3,5,0,803,5,3387.71,0,0,1,0,0,1,0,0,0,0
1,-2,0,1934,-2,5339.15,0,1,0,0,0,0,1,0,0,0
3,3,0,1144,3,14110.66,1,0,0,0,0,1,0,0,0,1
4,3,1,1922,3,576.32,0,0,1,0,0,1,0,0,0,0
2,4,0,4086,4,5650.16,0,0,1,0,0,1,0,0,0,0
3,5,0,2141,5,10426.71,1,0,0,0,0,1,0,0,0,1
4,4,0,1425,4,10739.73,1,0,0,0,0,1,0,0,0,1
2,6,0,2011,6,10990.64,1,0,0,0,0,1,0,0,0,0
4,1,1,1393,1,8977.86,1,0,0,0,0,0,1,0,0,1
4,3,0,2006,3,9556.5,1,0,0,0,0,1,0,0,0,0
2,-2,0,2420,-2,4193.25,0,1,0,0,0,0,0,0,0,0
7,5,0,1691,5,15883.07,1,0,0,0,0,1,0,0,0,1
5,3,0,1477,3,8461.37,0,0,1,0,0,1,0,0,0,1
5,10,0,1568,10,7829.44,1,0,0,0,0,1,0,0,0,1
6,10,1,1970,10,8447.92,0,0,1,0,0,1,0,0,0,0
2,3,0,4239,4,7245.74,1,0,0,0,0,1,0,0,0,1
2,3,1,3043,3,8801.18,1,0,0,0,1,0,0,0,0,0
1,2,0,1492,2,5644.55,0,0,1,0,0,1,0,0,0,0
4,5,1,1982,5,15964.24,1,0,0,0,0,1,0,0,0,1
1,4,0,2425,4,13116.54,0,0,1,0,0,1,0,0,0,1
5,3,0,536,3,14388.69,1,0,0,0,0,1,0,0,0,0
4,2,0,73,2,2913.07,1,0,0,0,0,1,0,0,0,0
1,-2,0,880,-2,945.9,0,1,0,0,0,1,0,0,0,0
3,4,0,0,4,9274.48,0,0,1,0,0,1,0,0,0,1
2,3,0,106,3,3239.03,0,0,1,0,0,1,0,0,0,0
2,-2,0,825,2,3230.86,0,1,0,0,1,0,0,0,0,1
3,7,0,112,7,8551.31,0,0,1,0,0,1,0,0,1,0
2,1,0,419,1,5581.78,1,0,0,0,0,1,0,0,0,1
1,5,0,641,5,6734.13,1,0,0,0,0,1,0,0,0,0
3,5,1,152,5,12657.64,1,0,0,0,0,0,0,0,0,0
4,2,0,76,2,4016.32,1,0,0,0,1,0,0,0,0,1
1,2,0,829,2,4400.93,1,0,0,0,0,1,0,0,0,0
2,3,1,0,3,9655.8,1,0,0,0,0,0,0,1,0,1
2,2,0,88,2,4180.31,0,0,1,0,0,1,0,0,0,1
5,7,0,843,7,10249.93,0,0,1,0,0,1,0,0,0,1
4,4,0,529,4,7481.88,0,0,1,0,0,1,0,0,0,1
2,2,1,116,2,17113.21,1,0,0,0,1,0,0,0,0,0
3,-2,1,554,-2,2555.58,0,1,0,0,1,0,0,0,0,0
3,2,0,4,2,3229.59,0,0,1,0,0,0,0,0,0,1
2,4,0,1150,4,5820.56,1,0,0,0,0,0,0,1,0,1
3,5,1,839,5,9445.3,1,0,0,0,0,0,0,1,0,1
1,-2,1,879,2,3453.61,0,1,0,0,1,0,0,0,0,0
1,1,1,1292,1,8212.55,0,0,0,1,0,0,1,0,0,0
4,6,0,755,6,8279.27,1,0,0,0,0,0,1,0,0,1
2,3,0,915,2,9489.04,1,0,0,0,1,0,0,0,0,0
1,-2,1,79,-2,3320.34,0,1,0,0,1,0,0,0,0,0
2,2,0,8,2,2223.01,0,0,1,0,0,1,0,0,0,1
1,-2,0,34,-2,5035.6,0,1,0,0,1,0,0,0,0,1
2,4,1,813,4,7577.3,1,0,0,0,0,1,0,0,0,1
2,1,0,779,1,12262.72,1,0,0,0,0,1,0,0,0,0
2,1,0,947,2,8924.47,0,0,0,1,0,0,1,0,0,1
1,-2,0,3931,-2,9740.86,0,1,0,0,1,0,0,0,0,0
2,4,0,1123,4,9226.33,0,0,1,0,0,1,0,0,0,1
4,3,0,1412,3,16553.03,0,0,0,1,0,0,1,0,0,0
3,25,0,212,25,16633.92,1,0,0,0,0,0,0,1,0,0
2,2,0,1665,2,7792.84,1,0,0,0,1,0,0,0,0,1
7,5,0,617,5,5688.31,0,0,1,0,0,1,0,0,0,1
4,5,0,853,5,16709.04,0,0,1,0,0,1,0,0,0,0
2,6,0,1303,6,24134.47,1,0,0,0,1,0,0,0,0,1
2,3,0,1509,3,6597.57,1,0,0,0,0,1,0,0,0,1
2,10,0,1153,10,7629.69,0,0,1,0,0,1,0,0,0,0
2,4,0,1414,4,6150.32,1,0,0,0,0,1,0,0,0,1
1,2,0,4003,2,5658.28,1,0,0,0,0,1,0,0,0,0
2,3,0,1955,3,9214.17,1,0,0,0,0,1,0,0,0,1
1,1,1,1911,1,8149.71,1,0,0,0,0,0,1,0,0,1
5,8,0,573,8,12800.99,1,0,0,0,1,0,0,0,0,0
5,7,0,1886,7,12230.77,0,0,1,0,0,0,1,0,0,0
6,6,0,583,6,5720.31,0,0,0,1,0,0,1,0,0,1
2,7,0,1360,7,8411.78,1,0,0,0,0,1,0,0,0,1
1,1,0,1017,1,8932.53,1,0,0,0,0,1,0,0,0,1
4,8,0,1382,8,12045.59,1,0,0,0,0,0,1,0,0,1
4,5,0,4578,5,5642.79,0,0,1,0,0,1,0,0,0,0
1,1,0,940,1,6991.21,1,0,0,0,0,0,1,0,0,0
4,2,0,1753,2,16541.35,1,0,0,0,0,0,0,1,0,0
2,2,0,1761,2,6370.41,1,0,0,0,0,0,1,0,0,0
2,8,0,1866,8,8438.36,0,0,0,1,0,0,1,0,0,1
3,10,0,1564,10,15728.98,1,0,0,0,0,0,0,1,0,1
2,5,0,1832,5,5384.32,1,0,0,0,0,0,0,1,0,1
1,3,0,1552,3,4632.8,0,0,1,0,0,1,0,0,0,0
4,2,0,358,2,4465.41,1,0,0,0,0,1,0,0,0,0
2,2,0,845,2,10202.73,0,0,1,0,0,1,0,0,0,1
3,6,0,377,7,7765.53,0,0,1,0,0,1,0,0,0,1
1,2,0,340,2,3773.87,1,0,0,0,1,0,0,0,0,0
4,4,0,190,4,8079.96,1,0,0,0,0,0,0,1,0,0
2,1,0,416,1,3664.0,1,0,0,0,0,0,1,0,0,0
2,4,0,116,4,9090.87,1,0,0,0,0,1,0,0,0,1
1,1,0,308,1,10348.63,0,0,0,1,0,0,1,0,0,1
2,4,1,120,4,8633.29,1,0,0,0,0,1,0,0,0,0
2,5,1,0,5,7695.53,1,0,0,0,0,0,0,1,0,0
2,20,0,419,20,8339.87,0,0,1,0,0,1,0,0,0,0
1,5,0,385,5,18995.96,0,0,0,1,1,0,0,0,0,1
2,2,0,52,2,8191.88,1,0,0,0,0,1,0,0,0,1
2,3,0,910,3,9901.26,0,0,0,1,0,0,1,0,0,1
4,7,1,408,7,11763.21,1,0,0,0,0,0,1,0,0,0
5,3,0,495,3,8536.38,0,0,1,0,0,1,0,0,0,0
4,15,0,411,15,12897.64,0,0,1,0,0,1,0,0,0,0
3,4,0,654,4,7965.19,0,0,1,0,0,1,0,0,0,0
3,2,1,771,5,6371.98,1,0,0,0,0,0,1,0,0,1
1,1,0,98,1,10712.32,1,0,0,0,0,0,1,0,0,1
2,3,0,20,3,7893.0,1,0,0,0,0,1,0,0,0,1
2,5,0,1266,5,6172.53,1,0,0,0,0,0,0,1,0,0
1,4,0,864,3,3853.88,0,0,0,1,0,0,0,1,0,0
1,3,1,1493,3,8078.4,1,0,0,0,0,0,0,1,0,1
2,2,0,257,2,4059.83,1,0,0,0,0,0,0,1,0,0
1,1,1,960,1,2568.24,1,0,0,0,0,0,0,1,0,1
1,-2,1,611,-2,4622.28,0,1,0,0,0,0,0,1,0,0
1,3,0,481,1,10649.71,1,0,0,0,0,0,1,0,0,0
1,-2,0,4162,-2,7021.63,0,1,0,0,0,1,0,0,0,0
1,2,0,4115,4,11797.87,1,0,0,0,0,0,0,0,0,0
2,2,1,3912,1,17733.36,1,0,0,0,0,1,0,0,0,0
2,1,1,4085,1,4051.52,1,0,0,0,1,0,0,0,0,0
2,3,0,1289,3,12575.47,1,0,0,0,0,1,0,0,0,0
3,2,0,1715,2,6248.74,0,0,1,0,0,1,0,0,0,1
6,21,0,1430,21,4729.03,0,0,1,0,0,1,0,0,0,0
3,7,0,781,7,4609.67,1,0,0,0,0,1,0,0,0,1
7,3,0,1924,3,19790.05,0,0,1,0,0,0,0,1,0,0
1,-2,0,504,1,4393.66,0,1,0,0,0,0,0,0,0,0
1,2,0,1604,2,6849.88,1,0,0,0,0,1,0,0,0,1
2,1,0,1153,1,2999.16,0,0,1,0,0,1,0,0,0,1
2,3,0,1885,3,9458.14,1,0,0,0,0,1,0,0,0,0
5,7,0,1143,7,14383.1,1,0,0,0,0,1,0,0,1,0
4,2,1,1472,2,9922.22,1,0,0,0,1,0,0,0,0,0
1,2,0,172,2,3198.21,1,0,0,0,0,1,0,0,0,0
3,5,0,1880,-2,11507.44,0,0,1,0,0,1,0,0,0,0
6,4,0,1641,4,4260.48,0,0,1,0,1,0,0,0,0,1
3,3,1,521,3,6727.43,1,0,0,0,0,1,0,0,1,0
2,-2,1,961,-2,3817.06,0,1,0,0,1,0,0,0,0,1
2,2,0,1818,2,9701.85,1,0,0,0,0,1,0,0,0,0
2,6,0,1295,6,5832.51,0,0,1,0,0,1,0,0,0,1
1,2,0,1286,2,4128.78,0,0,1,0,0,1,0,0,0,1
3,3,0,1512,2,11270.07,0,0,1,0,0,1,0,0,0,0
2,-2,1,645,-2,3127.98,0,1,0,0,1,0,0,0,0,0
3,-2,0,471,-2,4105.72,0,1,0,0,0,1,0,0,0,0
4,1,0,1415,1,11039.69,0,0,1,0,1,0,0,0,0,0
2,-2,0,1391,-2,507.62,0,1,0,0,0,0,0,0,0,0
5,5,0,1249,5,5608.84,0,0,1,0,1,0,0,0,0,0
1,1,0,1836,-2,4398.02,1,0,0,0,0,1,0,0,0,0
2,2,0,1305,3,8859.28,1,0,0,0,0,1,0,0,0,1
2,2,0,1519,3,8038.8,0,0,1,0,0,1,0,0,0,0
4,1,0,823,1,4303.67,0,0,1,0,0,1,0,0,0,0
2,2,0,1614,2,7495.36,0,0,1,0,0,1,0,0,0,1
1,1,0,844,1,2102.32,0,0,1,0,0,1,0,0,0,0
4,3,0,1095,3,6359.9,0,0,1,0,0,1,0,0,0,0
1,1,0,1379,1,4271.83,0,0,1,0,0,0,0,0,0,0
3,2,0,1622,2,7692.22,0,0,1,0,0,0,0,0,0,0
1,0,0,1959,1,5346.73,1,0,0,0,0,1,0,0,0,0
6,3,0,935,3,14890.61,1,0,0,0,0,1,0,0,1,0
1,-2,1,491,-2,1154.08,0,1,0,0,0,0,0,0,1,0
1,-2,0,816,2,653.7,0,1,0,0,0,0,0,0,0,0
1,2,0,825,2,2138.42,0,0,1,0,0,0,0,0,0,0
2,4,1,1413,4,10643.14,1,0,0,0,0,1,0,0,1,0
1,3,0,1288,3,7595.21,0,0,1,0,0,1,0,0,0,0
1,2,0,375,2,2720.5,0,0,1,0,0,1,0,0,0,0
1,-2,0,1764,-2,3086.98,0,1,0,0,0,0,0,0,0,0
1,-2,0,1713,-2,4565.68,0,1,0,0,0,1,0,0,0,0
2,2,0,1177,2,3233.9,0,0,1,0,0,1,0,0,0,0
3,4,1,1513,3,4846.46,1,0,0,0,1,0,0,0,0,0
3,5,0,923,5,6741.34,0,0,1,0,0,1,0,0,1,0
2,2,0,385,2,6433.73,0,0,1,0,0,1,0,0,0,1
1,-2,1,894,-2,2247.07,0,1,0,0,1,0,0,0,0,0
4,25,0,1244,25,7642.15,0,0,1,0,0,1,0,0,0,1
4,3,0,207,3,5156.46,1,0,0,0,0,1,0,0,0,1
3,5,0,1708,5,13732.92,1,0,0,0,0,1,0,0,0,1
2,4,0,1191,4,8151.45,0,0,1,0,0,1,0,0,0,1
4,3,0,1447,3,9067.08,0,0,1,0,0,0,0,0,0,0
3,-2,0,1403,-2,4207.03,0,1,0,0,0,0,0,0,0,0
4,1,0,816,1,5571.54,0,0,1,0,0,1,0,0,0,0
2,2,0,1342,2,4569.5,0,0,1,0,0,1,0,0,0,0
5,8,0,634,3,9311.44,1,0,0,0,0,1,0,0,0,1
1,-2,0,700,-2,912.54,0,1,0,0,0,0,0,0,0,0
1,6,0,1173,4,8912.72,1,0,0,0,0,1,0,0,1,0
2,4,0,2122,4,12230.65,1,0,0,0,0,1,0,0,0,1
3,2,0,1818,2,4372.49,1,0,0,0,0,1,0,0,0,0
5,2,0,1966,0,4831.18,0,0,0,1,0,0,0,0,0,0
3,2,0,1595,2,15603.98,0,0,1,0,0,1,0,0,0,0
5,-2,0,685,-2,6198.43,0,1,0,0,1,0,0,0,0,0
3,-2,1,1611,2,7870.08,0,1,0,0,1,0,0,0,0,0
4,21,0,1284,21,8487.56,0,0,1,0,0,1,0,0,0,0
3,7,0,876,7,3283.96,0,0,1,0,0,1,0,0,0,0
4,6,0,2002,6,3238.96,0,0,1,0,0,1,0,0,0,1
2,3,0,1097,3,7085.61,0,0,1,0,0,0,0,0,1,0
3,3,0,834,3,8402.93,0,0,1,0,0,1,0,0,0,0
2,2,1,909,2,2705.54,1,0,0,0,1,0,0,0,0,0
3,6,0,683,6,17791.53,0,0,1,0,1,0,0,0,1,0
6,5,0,1332,5,5998.7,0,0,1,0,0,1,0,0,0,0
1,1,0,1363,1,8250.17,1,0,0,0,0,1,0,0,0,0
3,3,0,1686,3,7474.25,1,0,0,0,0,1,0,0,0,0
3,-2,0,1745,-2,4342.75,0,1,0,0,0,1,0,0,0,1
3,1,0,1362,1,10814.75,1,0,0,0,0,1,0,0,1,0
3,4,1,1453,4,10633.15,1,0,0,0,0,1,0,0,0,0
2,3,0,2145,3,15874.88,1,0,0,0,0,1,0,0,0,0
6,10,0,1764,5,8588.0,0,0,1,0,0,1,0,0,0,1
4,6,1,168,5,4717.72,1,0,0,0,0,1,0,0,0,0
1,1,1,1246,1,6882.74,1,0,0,0,0,1,0,0,0,1
3,-2,1,596,-2,5894.24,0,1,0,0,0,0,0,0,0,0
6,4,0,1798,4,7312.3,0,0,1,0,0,0,0,0,0,0
1,-2,0,1497,-2,3443.1,0,1,0,0,1,0,0,0,0,0
3,-2,0,2224,6,6458.75,0,1,0,0,0,1,0,0,0,0
3,1,0,1584,1,7831.37,0,0,1,0,0,1,0,0,0,0
2,7,0,1687,7,10874.3,0,0,1,0,0,1,0,0,0,0
1,6,0,2193,5,3404.73,1,0,0,0,0,1,0,0,0,0
2,10,0,509,10,2595.03,1,0,0,0,0,0,0,0,0,0
2,2,0,621,2,10247.56,0,0,1,0,0,1,0,0,0,0
5,3,0,1558,3,17173.78,1,0,0,0,0,1,0,0,0,0
4,1,0,648,1,6214.57,0,0,1,0,0,1,0,0,0,1
3,7,0,1860,7,6936.96,0,0,1,0,1,0,0,0,0,1
3,6,1,2166,6,10956.71,1,0,0,0,0,1,0,0,0,0
2,1,0,2111,1,13958.13,1,0,0,0,0,1,0,0,0,0
1,2,0,1079,2,4150.23,1,0,0,0,0,1,0,0,0,0
1,-2,0,745,-2,3478.24,0,1,0,0,1,0,0,0,0,0
4,3,0,1225,3,7287.89,0,0,1,0,0,1,0,0,0,1
2,5,0,625,5,4654.93,1,0,0,0,0,1,0,0,0,0
4,-2,0,1721,3,3491.94,0,1,0,0,0,0,0,0,0,0
4,3,0,1383,3,6915.5,0,0,1,0,0,1,0,0,0,1
3,3,0,1226,4,4222.48,1,0,0,0,0,1,0,0,0,1
3,4,1,1233,4,9719.93,1,0,0,0,0,1,0,0,0,0
2,4,0,1342,4,6813.73,0,0,1,0,0,1,0,0,0,0
2,2,0,1345,-2,4323.38,0,0,1,0,0,1,0,0,0,0
1,2,1,4810,3,4841.51,1,0,0,0,1,0,0,0,0,0
3,3,0,1855,2,7377.88,1,0,0,0,0,0,1,0,0,0
1,3,0,1142,3,3931.61,1,0,0,0,0,1,0,0,0,0
1,0,1,2094,1,3963.32,1,0,0,0,0,1,0,0,0,0
2,1,0,1928,1,5147.37,0,0,1,0,0,1,0,0,0,0
