"REGIONC","DIVISION","STATE_FIPS","state_postal","state_name","DOEID","NWEIGHT"
WEST,Pacific,2,AK,Alaska,107148,599.58976177
WEST,Pacific,2,AK,Alaska,101478,863.91033875
WEST,Pacific,2,AK,Alaska,112123,858.05138476
WEST,Pacific,2,AK,Alaska,112456,827.76546962
WEST,Pacific,2,AK,Alaska,111791,771.18477681
WEST,Pacific,2,AK,Alaska,108624,752.65152008
WEST,Pacific,2,AK,Alaska,100824,654.62796085
WEST,Pacific,2,AK,Alaska,108764,791.37834853
WEST,Pacific,2,AK,Alaska,118092,676.67266808
WEST,Pacific,2,AK,Alaska,102958,568.7088117
WEST,Pacific,2,AK,Alaska,115501,672.4220481
WEST,Pacific,2,AK,Alaska,108563,887.47161514
WEST,Pacific,2,AK,Alaska,102289,1078.8445964
WEST,Pacific,2,AK,Alaska,109031,812.22720906
WEST,Pacific,2,AK,Alaska,101178,1225.8243558
WEST,Pacific,2,AK,Alaska,102444,656.86519574
WEST,Pacific,2,AK,Alaska,100696,949.62003192
WEST,Pacific,2,AK,Alaska,115842,712.15056077
WEST,Pacific,2,AK,Alaska,112271,699.21060619
WEST,Pacific,2,AK,Alaska,105661,703.97328803
WEST,Pacific,2,AK,Alaska,107518,824.48350702
WEST,Pacific,2,AK,Alaska,107436,774.41807354
WEST,Pacific,2,AK,Alaska,114671,895.46260424
WEST,Pacific,2,AK,Alaska,116721,803.19844561
WEST,Pacific,2,AK,Alaska,103713,1184.5429538
WEST,Pacific,2,AK,Alaska,114519,693.29447948
WEST,Pacific,2,AK,Alaska,109477,763.59517611
WEST,Pacific,2,AK,Alaska,115072,1231.0633691
WEST,Pacific,2,AK,Alaska,106880,698.86371774
WEST,Pacific,2,AK,Alaska,109505,781.63296652
WEST,Pacific,2,AK,Alaska,109454,673.01526995
WEST,Pacific,2,AK,Alaska,101481,514.92305588
WEST,Pacific,2,AK,Alaska,103912,1081.0072026
WEST,Pacific,2,AK,Alaska,115809,969.3977626
WEST,Pacific,2,AK,Alaska,105191,698.86371774
WEST,Pacific,2,AK,Alaska,116266,794.26150082
WEST,Pacific,2,AK,Alaska,112223,915.05577239
WEST,Pacific,2,AK,Alaska,112480,900.04343339
WEST,Pacific,2,AK,Alaska,105279,882.1146995
WEST,Pacific,2,AK,Alaska,101763,1052.3013285
WEST,Pacific,2,AK,Alaska,111476,740.46803036
WEST,Pacific,2,AK,Alaska,109766,870.44467945
WEST,Pacific,2,AK,Alaska,100613,856.04019311
WEST,Pacific,2,AK,Alaska,110129,818.27299067
WEST,Pacific,2,AK,Alaska,111183,705.93223725
WEST,Pacific,2,AK,Alaska,111647,869.56080306
WEST,Pacific,2,AK,Alaska,114878,708.98317934
WEST,Pacific,2,AK,Alaska,104350,1428.1304481
WEST,Pacific,2,AK,Alaska,114198,786.90929875
WEST,Pacific,2,AK,Alaska,109187,858.05138476
WEST,Pacific,2,AK,Alaska,104680,862.7570041
WEST,Pacific,2,AK,Alaska,100802,1008.3687316
WEST,Pacific,2,AK,Alaska,113298,755.71998091
WEST,Pacific,2,AK,Alaska,100943,715.72552965
WEST,Pacific,2,AK,Alaska,118000,1308.6455536
WEST,Pacific,2,AK,Alaska,113801,566.20365504
WEST,Pacific,2,AK,Alaska,103089,1078.7748836
WEST,Pacific,2,AK,Alaska,111764,1005.4852257
WEST,Pacific,2,AK,Alaska,108257,1058.1377353
WEST,Pacific,2,AK,Alaska,115096,755.71998091
WEST,Pacific,2,AK,Alaska,111622,898.5900265
WEST,Pacific,2,AK,Alaska,113308,1340.3898131
WEST,Pacific,2,AK,Alaska,109217,741.79720464
WEST,Pacific,2,AK,Alaska,113235,955.93048171
WEST,Pacific,2,AK,Alaska,118313,497.42484755
WEST,Pacific,2,AK,Alaska,113656,582.61580125
WEST,Pacific,2,AK,Alaska,108014,494.7316813
WEST,Pacific,2,AK,Alaska,115734,703.77375425
WEST,Pacific,2,AK,Alaska,109785,840.50821135
WEST,Pacific,2,AK,Alaska,105344,810.23311283
WEST,Pacific,2,AK,Alaska,104934,517.32441767
WEST,Pacific,2,AK,Alaska,103329,573.91173454
WEST,Pacific,2,AK,Alaska,111626,534.05857225
WEST,Pacific,2,AK,Alaska,104408,756.96996404
WEST,Pacific,2,AK,Alaska,117267,890.61207555
WEST,Pacific,2,AK,Alaska,111949,1080.0180389
WEST,Pacific,2,AK,Alaska,113973,859.53548289
WEST,Pacific,2,AK,Alaska,104460,781.61557705
WEST,Pacific,2,AK,Alaska,107177,649.43953206
WEST,Pacific,2,AK,Alaska,107881,955.93048171
WEST,Pacific,2,AK,Alaska,115589,731.85503498
WEST,Pacific,2,AK,Alaska,103296,552.81443343
WEST,Pacific,2,AK,Alaska,112507,987.52604061
WEST,Pacific,2,AK,Alaska,110022,819.08740022
WEST,Pacific,2,AK,Alaska,109170,596.84438423
WEST,Pacific,2,AK,Alaska,100871,1006.4932979
WEST,Pacific,2,AK,Alaska,102007,995.93006748
WEST,Pacific,2,AK,Alaska,107990,500.13896255
WEST,Pacific,2,AK,Alaska,110200,872.25204785
WEST,Pacific,2,AK,Alaska,101808,828.70122578
WEST,Pacific,2,AK,Alaska,106661,941.93594532
WEST,Pacific,2,AK,Alaska,101713,745.32045214
WEST,Pacific,2,AK,Alaska,101390,941.93594532
WEST,Pacific,2,AK,Alaska,103318,822.27425417
WEST,Pacific,2,AK,Alaska,116208,1197.5570464
