"HHSEX","HHAGE","EMPLOYHH","EDUCATION","SDESCENT","HOUSEHOLDER_RACE","NHSLDMEM","NUMCHILD","NUMADULT1","NUMADULT2","ATHOME","MONEYPY","ZATHOME","ZEDUCATION","ZEMPLOYHH","ZHHAGE","ZHHSEX","ZMONEYPY","ZNHSLDMEM","ZNUMADULT1","ZNUMADULT2","ZNUMCHILD","ZSDESCENT","ZHOUSEHOLDER_RACE","DOEID","NWEIGHT"
1,18,1,2,1,1,1,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,108394,3294.5109834
1,18,1,3,1,1,1,0,1,0,5,13,0,0,0,0,0,1,0,0,0,0,0,0,117840,12424.060656
2,18,2,2,0,2,2,1,1,0,4,4,0,0,0,0,0,0,0,0,1,1,0,0,113332,1734.8859485
2,18,1,2,0,1,2,0,2,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,100853,6210.7713367
2,18,2,2,0,1,2,0,2,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,117123,7651.2536502
2,18,4,2,0,4,2,0,1,1,5,15,0,0,0,0,0,0,0,0,0,0,0,0,103596,7590.7889546
1,18,2,1,0,1,2,0,2,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,110553,4759.7151813
1,18,2,2,0,1,2,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,115353,6076.1565605
1,18,4,2,0,1,2,0,2,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,107513,7772.7436283
1,18,4,2,0,1,3,1,2,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,103921,8162.9746059
1,18,4,1,1,1,3,2,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,104611,11215.949486
2,18,4,3,0,1,3,1,2,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,111750,5764.7851576
2,18,1,3,1,1,3,0,3,0,0,9,1,1,1,1,1,1,1,1,1,1,1,1,116735,6687.2527156
1,18,4,3,0,6,3,1,2,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,115889,800.01980907
2,18,4,3,1,1,3,0,3,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,103239,4892.2727654
2,18,4,2,0,1,3,0,3,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,109945,705.21081909
2,18,4,2,0,1,3,1,2,0,5,8,0,0,0,0,0,0,0,0,1,1,0,0,116114,6616.6152364
1,18,1,2,0,1,3,0,3,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,115339,4764.6224913
1,18,2,1,0,1,4,1,3,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,103445,8090.020958
1,18,2,2,1,6,4,1,3,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,100611,5101.9530963
1,18,2,2,0,4,4,0,4,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,114156,6757.7996179
1,18,2,1,0,2,4,1,2,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,110107,2709.9228596
1,18,2,3,1,1,4,0,4,0,5,15,0,0,0,0,0,0,0,0,0,0,0,1,105823,12203.532733
2,18,4,2,1,5,4,1,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,116042,5068.6093643
1,18,2,4,1,1,4,0,4,0,5,6,0,0,0,0,0,0,0,0,0,0,0,1,105476,11313.43397
1,18,4,4,0,1,5,2,3,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,115748,6354.9833959
2,18,4,1,0,1,5,1,4,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,111150,5879.4429764
2,18,4,3,1,1,5,1,4,0,3,1,0,0,0,0,0,0,1,0,1,0,0,0,116975,4040.2776968
2,18,4,3,0,4,5,3,2,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,103115,12225.464443
2,18,1,2,1,1,5,1,4,0,3,11,0,0,0,0,0,0,0,0,0,0,0,1,100730,10544.011906
2,18,4,2,0,1,5,0,5,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,106310,6225.4939244
1,18,4,1,1,1,5,1,4,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,109360,13529.258978
1,18,2,2,0,1,6,3,3,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,111078,5508.0907327
1,18,2,2,0,1,6,3,3,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,105042,6323.3758232
1,18,2,2,0,1,6,2,4,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,101957,3592.3818091
1,18,4,3,0,1,7,1,6,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,115957,5995.6006875
1,18,4,2,0,1,7,2,4,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,112900,5028.4357722
1,18,4,4,0,1,7,4,3,0,5,14,0,0,0,1,0,0,1,0,1,0,0,0,104650,2095.8012398
1,18,2,2,0,6,7,4,3,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,114416,6822.5680153
2,18,4,2,1,2,7,2,3,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,106000,5198.449873
2,19,1,2,0,1,1,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,106275,3385.0288146
2,19,1,3,0,1,1,0,1,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,117893,4133.8746604
2,19,2,3,0,1,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,108286,6905.3092313
2,19,2,3,0,6,1,0,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,107072,14409.451535
1,19,4,3,0,2,1,0,1,0,5,5,0,0,0,1,0,0,0,0,0,0,0,1,104400,9422.8859715
1,19,2,3,0,1,1,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,116058,12288.561898
1,19,2,2,0,1,1,0,1,0,2,5,1,0,0,0,0,1,1,1,1,1,0,0,106232,8884.7695058
1,19,2,3,0,1,1,0,1,0,5,9,0,0,0,1,0,0,0,0,0,0,0,0,108530,2244.2239796
1,19,1,3,0,4,1,0,1,0,3,2,0,0,0,1,0,0,1,1,1,1,0,0,112104,2395.4494757
1,19,4,2,0,4,2,1,1,0,5,12,0,0,0,0,0,0,0,0,0,0,0,1,105154,14969.777388
1,19,1,2,0,1,2,0,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,104116,7263.9755705
1,19,4,3,1,1,2,0,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,109159,13184.717007
2,19,2,3,0,1,2,0,2,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,111772,6043.0306134
1,19,1,2,0,6,2,1,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,108034,3618.9686579
2,19,4,2,0,1,2,0,2,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,107451,17883.375489
1,19,2,3,0,1,2,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,110788,5981.3989251
2,19,4,2,0,1,2,0,1,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,107042,14100.215181
2,19,4,2,0,1,2,0,1,1,5,1,0,0,0,0,0,0,0,1,1,0,0,0,109697,9135.0673169
2,19,2,3,0,1,2,0,2,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,105402,4348.6867758
1,19,1,2,0,1,2,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,117380,5255.7510515
1,19,4,2,0,1,2,0,2,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,104256,8451.5357191
2,19,4,2,0,1,2,0,1,1,5,7,0,0,0,0,0,0,0,0,0,0,0,0,102012,3822.1109238
1,19,1,2,0,1,2,0,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,107842,6019.1031567
2,19,2,1,0,1,2,0,2,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,101012,14219.200489
1,19,4,3,0,2,3,1,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,109726,2840.3488961
1,19,4,3,0,5,3,0,3,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,108432,8832.5362953
2,19,2,2,0,1,3,0,3,0,3,13,0,0,0,0,0,1,0,0,0,0,0,0,110965,7506.3328545
1,19,2,3,0,1,3,0,3,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,100409,5309.4799842
2,19,2,2,1,3,3,0,3,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,115590,4310.0845549
2,19,2,3,0,1,3,0,3,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,103813,2317.3387162
2,19,1,2,0,1,3,0,3,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,107888,3199.4194034
2,19,2,3,0,1,3,0,3,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,115109,8577.9019328
1,19,2,2,0,3,3,1,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,111205,2933.6692048
1,19,2,3,0,1,3,0,3,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,110975,14130.805152
1,19,2,3,0,1,3,0,3,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,117464,4286.0497732
1,19,2,2,0,2,4,0,4,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,110234,9224.4107401
1,19,2,2,1,1,4,0,4,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,112992,9274.1500432
2,19,4,1,0,1,4,1,2,1,5,12,0,0,0,0,0,0,0,0,0,0,0,0,116264,8400.393817
1,19,2,2,1,1,4,0,4,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,113976,7305.8288484
1,19,1,2,0,1,4,0,4,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,101121,14688.078561
2,19,4,3,0,1,4,2,2,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,106486,7670.3870033
1,19,1,2,0,1,4,1,3,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,105515,6076.4644597
1,19,2,2,0,1,4,0,4,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,115760,9869.8755956
2,19,4,3,0,1,4,0,4,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,106666,3587.6198533
1,19,4,3,0,1,4,1,3,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,102878,7148.9690118
1,19,2,3,0,1,4,0,4,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,102491,12822.185089
1,19,2,3,0,1,4,0,4,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,107442,4281.9854266
1,19,1,2,0,6,5,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,117034,1724.8861988
1,19,4,2,0,1,5,1,4,0,5,9,0,0,0,0,0,1,0,0,0,0,0,0,112789,5696.3087312
2,19,1,2,1,1,5,2,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,117280,5776.5547509
2,19,2,2,1,1,5,2,3,0,5,6,0,0,0,0,0,0,0,0,0,0,0,1,101561,11576.089389
1,19,1,3,0,2,7,1,6,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,116088,11152.055837
1,19,4,3,0,4,7,3,2,2,5,16,0,0,0,0,0,0,0,0,0,0,0,0,100165,1279.1851881
2,19,4,2,1,1,7,1,6,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,111360,14519.604264
