"LGTIN1TO4","LGTIN4TO8","LGTINMORE8","LGTINLED","LGTINCFL","LGTINCAN","LGTOUTANY","LGTOUTNITE","LGTOUTLED","LGTOUTCFL","LGTOUTCAN","ZLGTIN1TO4","ZLGTIN4TO8","ZLGTINCAN","ZLGTINCFL","ZLGTINLED","ZLGTINMORE8","ZLGTOUTANY","ZLGTOUTCAN","ZLGTOUTCFL","ZLGTOUTLED","ZLGTOUTNITE","DOEID","NWEIGHT"
5,5,4,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,113406,6875.4534871
2,3,2,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,112541,5805.1362784
1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100298,3280.1280376
15,10,5,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,111002,9831.6509892
0,2,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,113864,10607.219655
2,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,1,1,1,0,115126,9684.780827
7,4,2,0,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,106497,7053.1839284
30,0,3,0,4,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,108363,6649.0192056
2,8,0,0,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,110434,7189.1213528
9,3,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,110362,4324.3043233
1,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,101599,11932.083014
10,10,10,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,112695,3221.1017128
3,11,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,113353,9741.2953062
4,8,6,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,107240,9914.3745335
12,8,0,0,4,2,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,114456,10669.388942
6,4,2,0,4,4,1,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,104535,11083.726725
5,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,107982,734.50077071
2,1,0,0,0,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,102694,12407.249357
3,0,0,0,0,1,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,112558,14258.337947
5,2,0,0,4,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,110252,776.71278737
2,1,1,0,2,4,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,105968,12057.015666
0,8,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,106506,2501.0994143
13,6,6,0,4,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,116060,2041.4851962
12,8,10,0,3,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,113667,3557.100295
0,0,18,0,1,0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,104146,5218.4577052
2,3,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,105722,6540.4640225
3,1,2,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,102020,12639.751646
7,2,2,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,113161,5980.5796849
2,2,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,112333,11664.388882
10,7,6,0,4,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,111582,1111.6655084
4,4,0,0,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,113935,4597.3647182
2,3,0,0,0,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,104508,11757.103081
1,0,0,0,0,1,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,109494,12479.158314
4,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,115463,10889.080774
1,0,0,0,4,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,103610,9122.1553436
3,3,3,0,2,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,105625,6204.3995872
1,1,1,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,109609,8670.7944829
13,13,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,116270,4882.824223
4,4,2,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,106923,4471.8935493
5,5,6,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,104361,4210.9914878
0,8,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,112185,6024.8469276
1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,108766,4999.3513499
8,3,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,113827,10301.483777
7,0,0,0,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,116527,2157.7985919
1,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,1,1,1,0,112821,5492.5920052
10,3,0,0,4,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,101133,8488.8865639
2,0,0,0,4,2,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,101016,12670.527455
5,6,3,0,4,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,103653,7085.98822
0,3,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,109786,5159.9519379
3,2,1,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,114161,9257.9297336
2,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,112785,8076.0331127
4,3,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,103340,14765.612695
2,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,104875,7149.0842949
2,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,113463,4201.13081
4,4,1,0,3,3,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,103159,7800.4568998
3,5,3,0,4,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,106874,4513.4891255
2,3,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,108020,16992.755554
7,4,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,118111,4377.1455243
2,2,0,0,0,1,1,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,112359,6513.5590209
6,0,0,0,4,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,103514,5685.5600275
2,1,3,0,4,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,105974,530.71790508
