"HEATHOME","DNTHEAT","HEATAPT","EQUIPM","FUELHEAT","EQUIPAGE","GEOHP","EQUIPAUXTYPE","EQUIPAUX","FUELAUX","USEEQUIPAUX","NUMPORTEL","NUMFIREPLC","NUMDLHP","BASEHEAT","ATTCHEAT","GARGHEAT","HUMIDTYPE","NUMPORTHUM","USEHUMID","ELWARM","UGWARM","LPWARM","FOWARM","WDWARM","ZATTCHEAT","ZBASEHEAT","ZEQUIPAGE","ZEQUIPAUXTYPE","ZEQUIPM","ZFUELAUX","ZFUELHEAT","ZGARGHEAT","ZHEATAPT","ZHEATHOME","ZHUMIDTYPE","ZNUMDLHP","ZNUMFIREPLC","ZNUMPORTEL","ZNUMPORTHUM","ZUSEEQUIPAUX","ZUSEHUMID","ZDNTHEAT","DOEID","NWEIGHT"
1,-2,-2,99,99,4,-2,0,0,-2,-2,-2,-2,-2,0,0,-2,0,-2,-2,0,0,0,0,0,0,0,0,0,0,-2,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,110195,7902.0367142
1,-2,-2,3,99,5,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,0,0,0,0,-2,-2,0,0,1,-2,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,104230,4706.3170048
1,-2,0,3,99,5,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,0,0,0,0,-2,-2,1,0,1,-2,1,-2,0,0,0,-2,-2,-2,-2,-2,-2,-2,100410,9919.4349513
1,-2,-2,3,99,6,-2,0,0,-2,-2,-2,-2,-2,1,0,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,-2,0,0,-2,0,0,-2,-2,-2,-2,-2,-2,-2,106116,944.26896813
1,-2,-2,3,1,2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,0,0,-2,-2,0,1,0,0,0,-2,-2,0,0,0,-2,0,0,-2,0,0,-2,-2,-2,-2,-2,-2,-2,109428,15458.002573
1,-2,-2,3,1,6,-2,0,0,-2,-2,-2,-2,-2,1,1,-2,0,-2,-2,0,1,0,0,0,0,0,0,0,0,-2,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,117559,9982.1303604
1,-2,-2,3,1,3,-2,0,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,-2,0,1,0,0,0,0,-2,0,0,0,-2,0,0,-2,0,0,-2,-2,-2,-2,-2,-2,-2,105818,6648.4112461
1,-2,-2,3,1,4,-2,0,0,-2,-2,-2,-2,-2,-2,-2,1,0,-2,-2,0,1,0,0,0,-2,-2,0,0,0,-2,0,0,-2,0,0,-2,-2,-2,-2,-2,-2,-2,105344,810.23311283
1,-2,-2,3,1,2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,1,0,0,0,-2,-2,0,0,0,-2,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,117758,6058.2957611
1,-2,-2,3,1,2,-2,0,0,-2,-2,-2,-2,-2,1,0,0,0,-2,-2,0,1,0,0,0,0,0,0,0,0,-2,0,0,-2,0,0,-2,-2,-2,-2,-2,-2,-2,115286,10275.745013
1,-2,1,3,1,6,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,1,0,0,0,-2,-2,1,0,0,-2,0,-2,0,0,0,-2,-2,-2,-2,-2,-2,-2,118167,14656.742668
1,-2,0,3,1,2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,1,0,0,0,-2,-2,1,0,0,-2,0,-2,0,0,0,-2,-2,-2,-2,-2,-2,-2,102755,13359.859718
1,-2,-2,3,1,4,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,1,0,0,0,-2,-2,1,0,0,-2,1,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,116331,1613.993723
1,-2,-2,3,1,2,-2,0,0,-2,-2,-2,-2,-2,-2,0,0,0,-2,-2,0,1,0,0,0,0,-2,0,0,0,-2,0,0,-2,0,0,-2,-2,-2,-2,-2,-2,-2,117513,6589.6198578
1,-2,-2,3,1,5,-2,0,0,-2,-2,-2,-2,-2,-2,0,-2,0,-2,-2,0,1,0,0,0,0,-2,0,0,1,-2,0,-2,-2,0,0,-2,-2,-2,-2,-2,-2,-2,106130,4785.0657776
