"TYPETHERM","HEATCNTL","TEMPHOME","TEMPGONE","TEMPNITE","COOLCNTL","TEMPHOMEAC","TEMPGONEAC","TEMPNITEAC","ZHEATCNTL","ZTEMPGONE","ZTEMPGONEAC","ZTEMPHOME","ZTEMPHOMEAC","ZTEMPNITE","ZTEMPNITEAC","ZTYPETHERM","DOEID","NWEIGHT"
0,5,65,50,65,5,50,80,78,0,0,1,0,0,0,1,0,116322,4233.0455706
1,4,50,50,75,4,50,50,50,0,0,0,0,0,0,0,0,117131,1976.6596184
1,2,60,50,60,4,50,72,50,0,0,1,0,0,0,0,0,112510,9700.405437
1,2,70,50,50,4,50,50,50,0,0,0,0,0,0,0,0,110484,3141.5911467
0,5,50,50,70,2,50,50,50,0,0,0,0,0,0,0,0,117822,11135.378191
1,2,65,50,65,2,50,80,70,0,0,0,0,0,0,0,0,107000,3714.9213983
0,1,50,50,60,1,50,50,70,0,0,0,0,0,0,1,0,103937,6577.2037981
0,1,66,50,63,1,50,50,50,0,1,1,1,1,1,1,0,105330,8258.2407851
1,2,50,50,60,4,50,50,60,0,0,0,0,0,0,0,0,112018,14200.435142
2,3,70,50,60,1,50,70,50,0,0,0,0,0,0,0,0,102641,1031.7194193
0,5,50,50,50,5,50,50,50,0,0,0,0,0,0,0,0,101174,10400.983798
1,2,60,50,70,1,50,50,50,0,0,0,0,0,0,0,1,110152,10245.845804
1,1,50,50,65,2,55,50,50,0,0,0,0,0,0,0,0,108122,1011.1608911
1,1,60,50,60,2,55,75,60,0,0,0,0,0,0,0,0,102628,6279.1589698
1,4,64,50,68,4,60,60,60,0,0,0,0,0,0,0,0,106711,9511.7435544
1,4,68,50,70,4,60,60,60,0,0,0,0,0,0,0,0,108595,7623.9200529
1,1,67,50,67,1,60,50,60,0,0,0,1,0,1,0,1,116975,4040.2776968
2,3,60,50,65,3,60,65,60,0,0,0,0,0,0,0,0,100956,2477.7200679
1,4,65,50,65,4,60,80,60,0,0,1,0,0,0,0,0,113919,1531.8973084
3,3,70,50,60,3,60,60,60,0,0,0,0,0,0,0,0,102651,8732.7608429
0,2,60,50,70,1,60,75,60,0,1,1,0,0,0,0,0,114012,6578.5988749
1,4,50,50,50,4,60,80,60,0,0,0,0,0,0,0,0,115151,16458.537916
1,2,68,50,50,4,60,60,60,0,0,0,0,0,0,0,0,113192,6112.5585949
1,2,70,50,70,4,60,90,70,0,0,0,0,0,0,0,0,102331,8840.7057422
1,1,68,50,68,1,60,50,60,0,0,0,0,0,0,0,0,101439,2200.2452766
0,5,70,50,75,5,60,75,60,0,0,0,0,0,0,0,0,105382,6445.5098821
0,5,50,50,60,5,60,60,50,0,0,0,0,0,0,0,0,102855,13188.545023
0,4,55,50,70,4,60,65,60,0,0,0,0,0,1,0,0,100585,4228.3057969
2,1,62,50,62,1,62,50,62,0,0,0,0,0,0,0,0,103190,7055.2075627
0,5,60,50,77,5,64,71,50,0,0,0,0,0,0,0,0,105479,4191.674109
0,4,65,50,65,4,65,50,65,0,0,0,0,0,0,0,1,108280,13628.713409
3,3,65,50,65,3,65,50,65,0,0,0,0,0,0,0,0,103059,4954.2966327
0,5,75,50,70,4,65,65,65,0,0,0,0,0,0,0,0,118380,4830.4340974
0,4,69,50,69,2,65,65,65,0,0,0,0,0,0,0,0,116448,1744.0987249
3,3,65,50,70,3,65,75,65,0,0,0,0,0,0,0,0,113569,4617.9721475
1,1,80,50,70,1,65,70,70,0,0,0,0,0,0,0,0,110709,16816.761939
0,5,50,50,50,5,65,65,65,0,0,0,0,0,0,0,0,116625,11375.386126
1,2,75,50,70,2,65,75,65,0,0,0,0,0,0,0,0,113576,5926.9412143
2,1,65,50,65,1,65,65,65,0,0,0,0,0,0,0,0,114255,9311.9650188
0,1,65,50,65,1,65,60,65,0,0,0,0,0,0,0,0,110904,7965.8639453
0,2,65,50,60,2,65,50,50,0,1,0,0,0,1,0,0,107409,4609.9946526
1,2,65,50,65,2,65,60,65,0,0,0,0,0,0,0,0,108811,7126.1428282
0,4,75,50,75,4,65,80,65,0,0,0,0,0,0,0,0,101969,16459.240075
0,4,60,50,50,4,65,65,65,0,0,0,0,0,0,0,0,116200,7530.9293112
0,5,68,50,70,2,65,65,65,0,0,0,0,0,0,0,0,106139,10901.594895
2,1,67,50,67,1,66,50,65,0,0,0,0,0,0,0,0,107808,5285.7960995
2,4,70,50,70,4,67,80,76,0,0,0,0,0,0,0,0,113713,14922.863945
2,1,65,50,65,2,68,74,68,0,0,0,0,0,0,0,0,105320,4315.3612165
2,1,68,50,68,1,68,90,68,0,0,0,0,0,0,0,0,102942,9869.6003417
1,4,68,50,68,4,68,80,68,0,0,0,0,0,0,0,0,110736,2914.8957876
2,3,65,50,58,4,68,80,70,0,0,0,0,0,0,0,0,108284,5989.2123669
2,4,74,50,72,4,68,75,70,0,0,0,0,0,0,0,0,105033,11582.759095
1,4,65,50,60,4,68,75,68,0,0,0,0,0,0,0,0,112387,6429.6821785
2,3,68,50,66,3,68,80,90,0,0,0,0,0,0,0,0,103084,10779.198983
1,4,70,50,70,2,68,90,60,0,0,0,0,0,0,0,0,108047,12707.985751
1,1,55,50,50,1,68,68,68,0,0,1,0,1,0,1,0,112516,13800.128995
0,2,70,50,70,2,68,68,68,0,1,0,0,0,0,0,0,102099,6739.4002749
1,1,70,50,70,1,68,50,65,0,0,0,0,0,0,0,0,100171,2538.3150393
1,4,60,50,60,4,69,71,69,0,0,0,0,0,0,0,0,110521,11253.190824
1,4,69,50,50,4,69,75,65,0,0,0,0,0,0,0,0,117044,6169.5648579
2,4,70,50,70,4,69,80,80,0,0,0,0,0,0,0,0,102175,10602.178337
1,1,65,50,60,1,69,68,69,1,1,1,1,0,1,0,0,106543,1351.9059651
0,4,72,50,65,4,69,75,72,0,0,0,0,0,0,0,0,118114,2276.7172921
2,4,68,50,68,4,70,80,70,0,0,0,0,0,0,0,0,113591,12325.855637
2,1,70,50,50,4,70,90,70,0,0,0,0,0,0,0,0,100994,11194.387504
0,4,65,50,65,4,70,85,70,0,0,0,0,0,0,0,0,116179,9895.498532
2,2,70,50,67,2,70,50,74,0,0,0,0,0,1,1,0,101967,7599.1834416
1,2,60,50,60,2,70,80,60,0,0,0,0,0,0,0,0,109412,3733.714158
0,1,60,50,50,1,70,70,50,0,1,0,0,0,0,0,0,101592,8338.7020564
1,2,68,50,68,4,70,80,70,0,0,0,0,0,0,0,0,117304,9379.7020972
1,1,70,50,70,1,70,80,69,0,0,0,0,0,0,0,0,105832,5614.1876677
1,2,60,50,50,1,70,60,55,0,0,0,0,0,0,0,0,110819,5691.0040501
0,4,68,50,68,2,70,65,70,0,0,0,0,0,0,0,0,100997,19877.059568
