"HDD65","CDD65","HDD30YR_PUB","CDD30YR_PUB","DOEID","NWEIGHT"
11089,0,11253,15,107681,690.55912332
14088,0,14601,0,104907,1028.3398547
17383,0,15949,48,118046,800.02761876
9270,0,8273,0,106778,894.11995748
13690,0,13493,26,107386,545.47575953
14576,0,13651,22,109227,756.9913202
10607,0,10681,0,103124,590.44348644
9526,0,9588,0,116788,683.70462057
9270,0,8539,0,107518,824.48350702
8299,0,8267,18,107855,479.76426524
8304,0,8170,35,104222,771.44611124
9763,0,8455,74,112732,1128.7799414
14093,0,13922,39,111281,817.67349656
10121,0,10628,8,114519,693.29447948
12437,0,12389,19,100369,944.43679723
7574,0,6849,11,105715,955.93048171
14147,0,12707,43,113784,505.92771752
8857,0,7909,0,106746,774.30887584
11605,0,10880,53,117148,649.43953206
8348,0,7693,39,101808,828.70122578
14665,0,12614,64,107854,775.81152834
8287,0,8067,9,116266,794.26150082
14094,0,13920,39,102444,656.86519574
8297,0,8693,0,108563,887.47161514
13904,0,13246,16,108764,791.37834853
8357,0,8047,58,106661,941.93594532
14553,0,13342,23,117119,808.54015335
8321,0,8233,24,115826,1087.7730136
8312,0,8171,0,118077,483.22757249
17264,0,14766,77,113235,955.93048171
10294,0,10211,31,109505,781.63296652
9270,0,8036,22,110183,1011.4214879
12656,0,12857,28,110679,787.48440695
14087,0,13983,33,117267,890.61207555
12150,0,11250,4,107177,649.43953206
14463,0,13284,63,115589,731.85503498
14064,0,13840,55,100720,728.0006903
10836,0,10873,12,104347,718.10106132
11052,0,11061,0,115196,645.96456074
14088,0,14334,3,105279,882.1146995
12966,0,13751,0,112191,1038.4932829
17264,0,14483,105,112415,955.93048171
9829,0,8974,22,117637,9139.1619841
8349,0,7943,0,109380,828.70122578
8453,0,8114,0,110775,1030.2459193
8296,0,8376,0,101390,941.93594532
8298,0,8010,20,100824,654.62796085
10824,0,11122,20,112456,827.76546962
14548,0,14207,14,102146,770.70667404
9520,0,9324,40,103820,736.00945337
8712,0,8121,0,114206,923.16578988
10905,0,11311,0,112717,1504.4478579
8279,0,7983,25,103923,656.08762188
9091,0,8731,9,103105,884.68224626
14548,0,13591,0,118313,497.42484755
14548,0,12811,12,109076,728.0006903
10821,0,10654,42,117937,705.21081909
10436,0,10871,0,110944,678.11295537
11226,0,9764,0,108664,756.9913202
10657,0,10144,62,104349,645.07352779
14548,0,13541,85,115440,789.52102677
10846,0,10838,58,109273,1037.5974715
14111,0,13419,75,110817,599.62720867
10718,0,11727,0,102075,717.42828264
9520,0,9618,0,118366,798.17332373
9270,0,8295,0,112651,915.69696304
11117,0,11062,0,113599,1189.0975848
14116,0,14018,9,113973,859.53548289
11100,0,10346,47,103825,595.64450776
10891,0,11240,5,103104,815.49482411
9270,0,8226,0,111622,898.5900265
14579,0,14184,32,112961,681.58668605
14571,0,13449,44,107596,689.87355728
14568,0,13146,45,111175,633.14943095
10119,0,10437,35,100943,715.72552965
10413,0,10480,0,101058,913.37730344
10368,0,10471,30,111476,740.46803036
8303,0,8215,27,106473,903.29123261
10920,0,11416,0,104828,754.13554993
10903,0,10890,51,110540,802.90223055
8297,0,8088,5,113294,478.61426503
10904,0,11139,18,111949,1080.0180389
4280,256,4660,188,110911,7609.3979016
7425,256,7862,223,111879,3411.2761274
4306,256,4492,146,100873,10086.046446
4314,256,4579,215,107338,5872.4289519
9146,256,9113,238,104579,6195.0559058
4314,512,4083,988,108741,6171.0077518
4259,512,4518,668,105339,11528.524912
6863,512,7542,345,108868,892.17486645
6731,512,7443,318,108721,7157.5274608
6764,512,7208,394,107243,6413.4965748
7346,512,8484,265,111449,2565.7384308
9443,512,9428,393,106759,773.09068605
8265,512,6961,915,103881,6845.8671152
5510,768,6379,536,105153,8091.3725941
5615,768,6069,668,110973,6704.998818
4785,768,5891,362,102632,4135.7315647
4786,768,5435,531,117848,4916.5473029
4785,768,5855,371,116015,4000.2131342
6100,768,6825,447,109393,2701.9384768
5889,768,5978,892,110819,5691.0040501
5273,768,5853,374,110853,3133.6360998
4785,768,5996,336,106277,3754.8173147
6241,768,6896,429,103513,3813.877509
6225,1024,6622,879,104684,3432.341646
5140,1024,5727,864,112700,4645.3810193
4702,1024,4903,1119,107209,2579.1371271
5933,1024,5983,1088,104588,5754.3786613
4888,1024,5040,1151,116169,6685.3201599
4388,1024,5403,765,100471,3945.3576108
5436,1024,5484,610,102036,6979.2323456
4863,1024,5028,1015,110725,6185.2477495
4899,1024,4128,1551,103744,7537.4262873
4882,1024,5475,841,118483,16101.202179
5440,1024,5788,809,105964,2167.3456413
4709,1024,5366,804,115987,5322.3571902
3843,1280,4883,953,105102,4561.9306496
4808,1280,5158,1273,107354,6447.1736445
4170,1280,4717,1156,101821,6838.4989875
4858,1280,5292,1206,107376,5022.708638
3683,1280,4394,1029,101884,5537.2136908
3802,1536,3461,2134,112452,11306.046564
3802,1536,4625,1344,101066,9868.8703781
3812,1536,4343,1376,105031,3704.4896354
3798,1536,4231,1462,101792,12781.311194
3810,1536,4960,868,106740,6075.9912166
3087,1536,3570,1447,101435,11449.407877
3917,1536,3812,1976,112445,6484.6160035
3996,1536,4661,1360,114829,6600.4513061
3582,1536,4764,1113,111606,3149.8868006
4339,1536,4612,1625,108532,6104.8879598
3802,1536,4766,1163,110039,6669.6027502
3810,1536,4820,911,101781,6555.3532743
3801,1536,4741,1171,105809,5538.2184115
3802,1536,3562,2072,109924,6623.3033616
3809,1536,4927,878,107082,5356.0520715
2658,1792,3303,1652,107271,7525.4790229
1250,1792,1325,1321,106998,15716.598767
3021,1792,2974,2263,100751,4590.8166362
2451,1792,3039,1707,112312,6314.4823181
1092,2048,1070,1260,104068,10009.721188
2196,2304,2321,1817,107858,9871.3673208
2198,2304,2421,1743,108437,14086.801301
2198,2304,2402,1757,101047,11268.52942
2205,2304,2357,1790,108949,8463.8220727
1266,2560,2060,2137,102297,12201.011697
1556,3072,1866,2676,113282,9062.7420916
1084,3328,1568,2766,112370,8615.1271018
1,3584,25,3900,117294,1461.9158131
914,3584,1223,3352,109502,7690.9028517
889,3584,1390,2999,111807,13030.438449
368,4352,558,3289,117353,12884.773173
318,4352,468,3392,109019,12837.606271
146,4608,240,4004,103246,13719.781884
103,4864,217,4082,113934,21124.590676
10784,1,10291,29,107985,1147.1506143
10553,1,9936,42,114878,708.98317934
10681,1,10256,0,116390,926.66123097
14070,1,13896,0,110200,872.25204785
10591,1,9939,42,118328,704.28955987
10590,1,10251,0,109477,763.59517611
10599,1,10151,0,103713,1184.5429538
10630,1,10134,1,110053,1251.4491802
10786,1,11514,0,117279,887.47161514
14468,1,15409,3,106178,1104.8797355
10683,1,11484,0,101178,1225.8243558
10796,1,10993,49,102958,568.7088117
10687,1,11312,7,115088,851.96594691
10782,1,11457,0,112223,915.05577239
10772,1,10467,4,113308,1340.3898131
10595,1,9993,22,112271,699.21060619
10748,1,10177,36,115734,703.77375425
